Name,City,State,Details URL
Carnival Cinemas Theatre,Siliguri,West Bengal,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-siliguri-west-bengal.html
Carnival Cinemas Theatre,Vaikom,Kerala,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-vaikom-kerala.html
Carnival Cinemas Theatre,Aluva,Kerala,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-aluva-kerala.html
Carnival Cinemas: Aarthi Grand Theatre,Dindigul,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-aarthi-grand-dindigul-tamil-nadu.html
Carnival Cinemas: Amar Jyoti Theatre,Muzaffarpur,Bihar,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-amar-jyoti-muzaffarpur-bihar.html
Carnival Cinemas: Annex Mall Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-annex-mall-mumbai-maharashtra.html
Carnival Cinemas: Blue City Mall Theatre,Jodhpur,Rajasthan,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-blue-city-mall-jodhpur-rajasthan.html
Carnival Cinemas: City Center Theatre,Durgapur,West Bengal,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-city-center-durgapur-west-bengal.html
Carnival Cinemas: City Mall Theatre,Bilaspur,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-city-mall-bilaspur-chhattisgarh.html
Carnival Cinemas: Express Zone Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-express-zone-mumbai-maharashtra.html
Carnival Cinemas: H&J Mall Theatre,Karunagappally,Kerala,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-hampj-mall-karunagappally-kerala.html
Carnival Cinemas: Pacific Mall Theatre,Mathura,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-pacific-mall-mathura-uttar-pradesh.html
Carnival Cinemas: RK Mall Theatre,Raipur,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-rk-mall-raipur-chhattisgarh.html
Carnival Cinemas: Rockline Mall Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-rockline-mall-bengaluru-karnataka.html
Carnival Cinemas: RP Mall Theatre,Kollam,Kerala,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-rp-mall-kollam-kerala.html
Carnival Cinemas: Sentrum Mall Theatre,Asansol,West Bengal,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-sentrum-mall-asansol-west-bengal.html
Carnival Cinemas: V World Theatre,Kadi,Gujarat,https://www.cinemaprofile.com/theatre/view-carnival-cinemas-v-world-kadi-gujarat.html
Carnival Films: Patel Plaza Theatre,Neemuch,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-carnival-films-patel-plaza-neemuch-madhya-pradesh.html
Casa Grande Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-casa-grande-mumbai-maharashtra.html
Casino Theatre,Chennai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-casino-theatre-chennai-tamil-nadu.html
Casino Theatre,Aluva,Kerala,https://www.cinemaprofile.com/theatre/view-casino-theatre-aluva-kerala.html
Cauvery Mahal Theatre,Madikeri,Karnataka,https://www.cinemaprofile.com/theatre/view-cauvery-mahal-theatre-madikeri-karnataka.html
Cauvery Theatre,Bengaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-cauvery-theatre-bengaluru-karnataka.html
Cauvery Theatre,Tiruchirappalli,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-cauvery-theatre-tiruchirappalli-tamil-nadu.html
CCP Cineplex Theatre,Malout,Punjab,https://www.cinemaprofile.com/theatre/view-ccp-cineplex-malout-punjab.html
Ceara Multiplex Theatre,Sirsa,Haryana,https://www.cinemaprofile.com/theatre/view-ceara-multiplex-sirsa-haryana.html
Celebration Cinema Hall Theatre,Jeypore,Odisha,https://www.cinemaprofile.com/theatre/view-celebration-cinema-hall-jeypore-odisha.html
Central and Kanakadhara Theatres,Coimbatore,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-and-kanakadhara-theatres-coimbatore-tamil-nadu.html
Central Ashtalakshmi Theatre,Annur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-ashtalakshmi-theatre-annur-tamil-nadu.html
Central Cinema Theatre,Dindigul,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-cinema-dindigul-tamil-nadu.html
Central Cinemas Theatre,Kottayam,Kerala,https://www.cinemaprofile.com/theatre/view-central-cinemas-kottayam-kerala.html
Central Cinemas Theatre,Perinthalmanna,Kerala,https://www.cinemaprofile.com/theatre/view-central-cinemas-perinthalmanna-kerala.html
Central Plaza Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-central-plaza-theatre-mumbai-maharashtra.html
Central Talkies Theatre,Thirubuvanai,Puducherry,https://www.cinemaprofile.com/theatre/view-central-talkies-thirubuvanai-puducherry.html
Central Talkies Theatre,Mangaluru,Karnataka,https://www.cinemaprofile.com/theatre/view-central-talkies-mangaluru-karnataka.html
Central Theatre,Madurai,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-theatre-madurai-tamil-nadu.html
Central Theatre,Dindigul,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-theatre-dindigul-tamil-nadu.html
Central Theatre,Malegaon,Maharashtra,https://www.cinemaprofile.com/theatre/view-central-theatre-malegaon-maharashtra.html
Central Theatre,Tirunelveli,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-central-theatre-tirunelveli-tamil-nadu.html
Central Theatre,Ernakulam,Kerala,https://www.cinemaprofile.com/theatre/view-central-theatre-ernakulam-kerala.html
Central Theatre,Tirur,Kerala,https://www.cinemaprofile.com/theatre/view-central-theatre-tirur-kerala.html
D Cinema Theatre,Ramanathapuram,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-d-cinema-ramanathapuram-tamil-nadu.html
D Cinemaas Theatre,Chalakudy,Kerala,https://www.cinemaprofile.com/theatre/view-d-cinemaas-chalakudy-kerala.html
D L Multiplex Theatre,Akaltara,Chhattisgarh,https://www.cinemaprofile.com/theatre/view-d-l-multiplex-akaltara-chhattisgarh.html
Dada Talkies Theatre,Tadipatri,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-dada-talkies-tadipatri-andhra-pradesh.html
Dalmiya Home Theatre,New Delhi,Delhi,https://www.cinemaprofile.com/theatre/view-dalmiya-home-new-delhi-delhi.html
Damodar Cinema Theatre,Nashik,Maharashtra,https://www.cinemaprofile.com/theatre/view-damodar-cinema-nashik-maharashtra.html
Darbar Cinema Hall Theatre,Siwan,Bihar,https://www.cinemaprofile.com/theatre/view-darbar-cinema-hall-siwan-bihar.html
Darpan Theatre,Barabanki,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-darpan-theatre-barabanki-uttar-pradesh.html
Darpana Cinema Hall Theatre,Kolkata,West Bengal,https://www.cinemaprofile.com/theatre/view-darpana-cinema-hall-kolkata-west-bengal.html
Darsana Theatre,Udumbanchola,Kerala,https://www.cinemaprofile.com/theatre/view-darsana-theatre-udumbanchola-kerala.html
Darshan Cineplex Theatre,Valia,Gujarat,https://www.cinemaprofile.com/theatre/view-darshan-cineplex-valia-gujarat.html
Darshan Talkies Theatre,Kamareddy,Telangana,https://www.cinemaprofile.com/theatre/view-darshan-talkies-kamareddy-telangana.html
Darshana Theatre,Muvattupuzha,Kerala,https://www.cinemaprofile.com/theatre/view-darshana-theatre-muvattupuzha-kerala.html
Dasari Picture Palace Theatre,Palakol,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-dasari-picture-palace-palakol-andhra-pradesh.html
Dass Theatre,Harur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-dass-theatre-harur-tamil-nadu.html
Datta Theatre,Belagavi,Karnataka,https://www.cinemaprofile.com/theatre/view-datta-theatre-belagavi-karnataka.html
Daulat Chitra Mandir Theatre,Koregaon,Maharashtra,https://www.cinemaprofile.com/theatre/view-daulat-chitra-mandir-koregaon-maharashtra.html
DDX Cinemas Theatre,Bhopal,Madhya Pradesh,https://www.cinemaprofile.com/theatre/view-ddx-cinemas-bhopal-madhya-pradesh.html
Debjani Cinema Theatre,Basirhat,West Bengal,https://www.cinemaprofile.com/theatre/view-debjani-cinema-basirhat-west-bengal.html
Deep Jyoti Cinema Theatre,Dhariawad,Rajasthan,https://www.cinemaprofile.com/theatre/view-deep-jyoti-cinema-dhariawad-rajasthan.html
Deep Prabha Theatre,Bhagalpur,Bihar,https://www.cinemaprofile.com/theatre/view-deep-prabha-theatre-bhagalpur-bihar.html
Deepa Movie House Theatre,Kolazhy,Kerala,https://www.cinemaprofile.com/theatre/view-deepa-movie-house-kolazhy-kerala.html
Deepa Sri Talkies Theatre,Malur,Karnataka,https://www.cinemaprofile.com/theatre/view-deepa-sri-talkies-malur-karnataka.html
Deepak Cinema Theatre,Muzaffarpur,Bihar,https://www.cinemaprofile.com/theatre/view-deepak-cinema-muzaffarpur-bihar.html
Deepak Cinema Theatre,Keshod,Gujarat,https://www.cinemaprofile.com/theatre/view-deepak-cinema-keshod-gujarat.html
Deepak Talkies Theatre,Jalgaon,Maharashtra,https://www.cinemaprofile.com/theatre/view-deepak-talkies-jalgaon-maharashtra.html
Deepak Talkies Theatre,Kanigiri,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-deepak-talkies-kanigiri-andhra-pradesh.html
Deepak Talkies Theatre,Mumbai,Maharashtra,https://www.cinemaprofile.com/theatre/view-deepak-talkies-mumbai-maharashtra.html
Deepak Talkies Theatre,Ramanagaram,Karnataka,https://www.cinemaprofile.com/theatre/view-deepak-talkies-ramanagaram-karnataka.html
Deepak Theatre,Vuyyuru,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-deepak-theatre-vuyyuru-andhra-pradesh.html
Deepak Theatre,Malegaon,Maharashtra,https://www.cinemaprofile.com/theatre/view-deepak-theatre-malegaon-maharashtra.html
Deepak Theatre,Bidar,Karnataka,https://www.cinemaprofile.com/theatre/view-deepak-theatre-bidar-karnataka.html
Deepak Theatre,Kothapalli,Andhra Pradesh,https://www.cinemaprofile.com/theatre/view-deepak-theatre-kothapalli-andhra-pradesh.html
Deepak Theatre: Shapuri Mall,Varanasi,Uttar Pradesh,https://www.cinemaprofile.com/theatre/view-deepak-theatre-shapuri-mall-varanasi-uttar-pradesh.html
Deepali Talkies Theatre,Jalpaiguri,West Bengal,https://www.cinemaprofile.com/theatre/view-deepali-talkies-jalpaiguri-west-bengal.html
Deepam Talkies Theatre,Dhaka,Bihar,https://www.cinemaprofile.com/theatre/view-deepam-talkies-dhaka-bihar.html
Deepshikha Picture Palace Theatre,Begusarai,Bihar,https://www.cinemaprofile.com/theatre/view-deepshikha-picture-palace-begusarai-bihar.html
Deepthi Multiplex Theatre,Kanhangad,Kerala,https://www.cinemaprofile.com/theatre/view-deepthi-multiplex-kanhangad-kerala.html
Deepti Sky Cinex Theatre,Wani,Maharashtra,https://www.cinemaprofile.com/theatre/view-deepti-sky-cinex-wani-maharashtra.html
Defense Service Staff College Theatre,Wellington,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-defense-service-staff-college-wellington-tamil-nadu.html
Deivam Cinema Theatre,Srivilliputhur,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-deivam-cinema-srivilliputhur-tamil-nadu.html
Deivam Theatre,Tiruchengode,Tamil Nadu,https://www.cinemaprofile.com/theatre/view-deivam-theatre-tiruchengode-tamil-nadu.html
Delhi Tamil Sangam Theatre,New Delhi,Delhi,https://www.cinemaprofile.com/theatre/view-delhi-tamil-sangam-new-delhi-delhi.html
Delight Cinema Hall Theatre,Dehri-on-Sone,Bihar,https://www.cinemaprofile.com/theatre/view-delight-cinema-hall-dehri-on-sone-bihar.html
